types of nodes in wireless sensor networks;https://en.wikipedia.org/wiki/List_of_wireless_sensor_nodes;A sensor node, also known as a mote , is a node in a sensor network that is capable of performing some processing, gathering sensory information and communicating with other connected nodes in the network.;node_;0.4;0.9230769230769231;0.20454545454545456;1.5276223776223778;0.7071067811865475;1;Tue Jun 27 23:43:19 IST 2017
types of nodes in wireless sensor networks;https://en.wikipedia.org/wiki/List_of_wireless_sensor_nodes;A sensor node, also known as a mote , is a node in a sensor network that is capable of performing some processing, gathering sensory information and communicating with other connected nodes in the network.;network;0.4;0.46153846153846156;0.11616161616161617;0.9777000777000777;0.7071067811865475;1;Tue Jun 27 23:43:19 IST 2017
types of nodes in wireless sensor networks;https://en.wikipedia.org/wiki/List_of_wireless_sensor_nodes;A sensor node, also known as a mote , is a node in a sensor network that is capable of performing some processing, gathering sensory information and communicating with other connected nodes in the network.;processing_;0.2;0.46153846153846156;0.292929292929293;0.9544677544677547;0.7071067811865475;1;Tue Jun 27 23:43:19 IST 2017
types of nodes in wireless sensor networks;http://microcontrollerslab.com/wireless-sensor-networks-wsn-applications/; There is a sensor transducer, microcontroller, transceiver and power source in every sensor node.;power_source;0.6;0.1111111111111111;1.0;1.711111111111111;0.0;0;Tue Jun 27 23:43:19 IST 2017
types of nodes in wireless sensor networks;https://www.elprocus.com/architecture-of-wireless-sensor-network-and-applications/; These nodes can be used in various real_time applications to perform various tasks like smart detecting, a discovery of neighbor node, data processing and storage, data collection, target tracking, monitor and controlling, synchronization, node localization, and effective routing between the base station and nodes.;data_collection_;0.6;0.045454545454545456;1.0;1.6454545454545455;1.0;0;Tue Jun 27 23:43:19 IST 2017
types of nodes in wireless sensor networks;https://www.elprocus.com/architecture-of-wireless-sensor-network-and-applications/; The three cross planes are namely power management, mobility management, and task management.;power_management_;0.6;0.045454545454545456;1.0;1.6454545454545455;0.0;0;Tue Jun 27 23:43:19 IST 2017
types of nodes in wireless sensor networks;https://en.wikipedia.org/wiki/Wireless_sensor_network; The development of wireless sensor networks was motivated by military applications such as battlefield surveillance  today such networks are used in many industrial and consumer applications, such as industrial process monitoring and control, machine health monitoring, and so on.;industrial;0.6;0.021897810218978103;1.0;1.621897810218978;1.0;0;Tue Jun 27 23:43:19 IST 2017
types of nodes in wireless sensor networks;https://en.wikipedia.org/wiki/Wireless_sensor_network; The development of wireless sensor networks was motivated by military applications such as battlefield surveillance  today such networks are used in many industrial and consumer applications, such as industrial process monitoring and control, machine health monitoring, and so on.;networks_;0.6;0.021897810218978103;1.0;1.621897810218978;1.0;0;Tue Jun 27 23:43:19 IST 2017
types of nodes in wireless sensor networks;https://en.wikipedia.org/wiki/Wireless_sensor_network; a radio transceiver with an internal antenna or connection to an external antenna, a microcontroller, an electronic circuit for interfacing with the sensors and an energy source, usually a battery or an embedded form of energy harvesting.;electronic_circuits;0.6;0.021897810218978103;1.0;1.621897810218978;0.0;0;Tue Jun 27 23:43:19 IST 2017
types of wireless sensor networks;http://onlinelibrary.wiley.com/doi/10.1002/9781119345343.ch1/summary; There are several assumptions or general properties of WSNs, which make them different from other types of wireless networks.;wireless_network;0.6;0.07500000000000001;0.8484848484848485;1.5234848484848484;0.0;0;Tue Jun 27 23:43:19 IST 2017
types of wireless sensor network;https://www.elprocus.com/architecture-of-wireless-sensor-network-and-applications/;A Wireless Sensor Network is one kind of wireless network includes a large number of circulating, self_directed, minute, low powered devices named sensor nodes called motes.;large_numbers;0.6;0.11538461538461539;0.5454545454545455;1.260839160839161;0.0;0;Tue Jun 27 23:43:19 IST 2017
types of attacks in wireless sensor networks;http://www.ijecs.in/index.php/current-issue/1888-safety-in-wireless-sensor-network-types-of-attacks-and-solutions;Wireless Sensor networks have become the most interesting regions of exploring in the 21st century.;21st_century;0.6;0.061224489795918366;0.24242424242424246;0.9036487322201607;0.0;0;Tue Jun 27 23:43:19 IST 2017
types of clustering in wireless sensor networks;http://www.sciencedirect.com/science/article/pii/S2212017312003039; Out of these, clustering algorithms have gained more importance, in increasing the life time of the WSN, because of their approach in cluster head selection and data aggregation.;clustering_algorithms;0.6;0.046153846153846156;0.24242424242424246;0.8885780885780885;0.0;0;Tue Jun 27 23:43:19 IST 2017
