58	The_same_mode	is_also_used_by	KGDB	0.917
26	Allinea_DDT	_	a_graphical_debugger_supporting_for_parallel_multi_process_and_multithreaded_applications	0.83
39	Allinea_DDT	_	a_graphical_debugger_supporting_for_parallel_multi_process_and_multithreaded_applications	0.83
84	Linux_Magazin	has_on	debugging	0.826
34	DDT	be_a_parallel_and_distributed_front_end_to	a_modified_version_of_GDB	0.79
47	DDT	be_a_parallel_and_distributed_front_end_to	a_modified_version_of_GDB	0.79
52	Advanced_debuggers	provide_detailed	information	0.785
84	Linux_Magazin	has	articles	0.785
85	LinuxFocus	has	a_DDD_tutorial	0.785
37	visual_debugging_tools	be_based_on	GDB	0.764
50	visual_debugging_tools	be_based_on	GDB	0.764
35	Xcode	contains	a_GDB_front_end	0.758
48	Xcode	contains	a_GDB_front_end	0.758
60	it	to_place	breakpoints	0.757
51	programmers	to_run	a_program_step	0.747
51	programmers	to_run_a_program_step_by	step	0.745
36	SlickEdit	contains	a_GDB_front_end	0.74
49	SlickEdit	contains	a_GDB_front_end	0.74
62	KGDB	requires	an_additional_machine_which_is_connected_to_the_machine_to_be_debugged_using_a_serial_cable_or_Ethernet	0.74
79	we	have_compiled	a_list_of_9_advanced_Linux_debugging_tools	0.731
38	cross_platform_C_C_IDE	have_front_end_for	gdb	0.715
51	cross_platform_C_C_IDE	have_front_end_for	gdb	0.715
60	breakpoints	to_be_place_in	kernel_code	0.709
27	DDD	is_the_standard_front_end_from	the_GNU_Project	0.695
40	DDD	is_the_standard_front_end_from	the_GNU_Project	0.695
59	they	debug	application_programs	0.669
3	GDB	_	the_GNU_debugger	0.631
15	GDB	_	the_GNU_debugger	0.631
49	they	are_writing	programs	0.612
26	Allinea_DDT	_a_graphical_debugger_supporting_for_parallel_multi_process_and_multithreaded_applications_for	C_C_and_F90	0.607
39	Allinea_DDT	_a_graphical_debugger_supporting_for_parallel_multi_process_and_multithreaded_applications_for	C_C_and_F90	0.607
50	the_bugs	are_found_in	code	0.564
83	Dobb	s	Journal	0.562
28	GDB_CodeLite	have_front_end_for	gdb	0.539
41	GDB_CodeLite	have_front_end_for	gdb	0.539
63	it	is_also_possible_on	FreeBSD	0.433
28	GDB_CodeLite	be_the_next_version_of	CodeLite	0.362
41	GDB_CodeLite	be_the_next_version_of	CodeLite	0.362
28	visual_debugging_tools_based_on_GDB_CodeLite_An_open_source_cross_platform_C_C_IDE_which_have_front_end_for_gdb_the_next_version_of_CodeLite	will_also_include_a_front_end_to_the_LLDB_CodeBlocks_A_free_cross_platform_C_C_and_Fortran_IDE_with_a_front_end_for_gdb_RR_An_open_source_C_C_debugger_by_Mozilla_reverse	execution	0.273
41	visual_debugging_tools_based_on_GDB_CodeLite_An_open_source_cross_platform_C_C_IDE_which_have_front_end_for_gdb_the_next_version_of_CodeLite	will_also_include_a_front_end_to_the_LLDB_CodeBlocks_A_free_cross_platform_C_C_and_Fortran_IDE_with_a_front_end_for_gdb_RR_An_open_source_C_C_debugger_by_Mozilla_reverse	execution	0.273
