2suffix/prefix/W;1;Software performance testing;debugger;Software testing;0
2suffix/prefix;0;Software performance testing;debugger;Software;2
suffix/prefix;0;Software performance testing;debugger;Software;2
suffix/prefix;0;Software bug;debugger;Software;2
2suffix/prefix;0;Error message;debugger;Error;1
2suffix/prefix/W;0;Computer programming;debugger;Computers;1
2suffix/prefix/W;0;Computer programming;debugger;Computers;0
suffix/prefix/W;0;Computer programming;debugger;Computers;2
2suffix/prefix;0;Software testing;debugger;Software;2
suffix/prefix;0;Software testing;debugger;Software;2
2suffix/prefix;0;Data structure;debugger;Data;2
2suffix/prefix;0;Data structure;debugger;Data;2
2suffix/prefix;0;Microsoft Windows;debugger;Microsoft;2
1suffix/prefix;1;Dbx (debugger);debugger
2suffix/prefix/W;0;Project management;debugger;Projects;1
2suffix/prefix;0;Microsoft Windows;debugger;Microsoft;2
2suffix/prefix/W;1;Portable Document Format;debugger;Documents;1
2suffix/prefix/W;0;Test automation;debugger;Tests;2
2suffix/prefix;0;Quality assurance;debugger;Quality;2
2suffix/prefix;0;Email address;debugger;Email;0
2suffix/prefix;0;Data science;debugger;Data;2
2suffix/prefix/W;0;Computer program;debugger;Computers;1
suffix/prefix/W;0;Computer program;debugger;Computers;2
1suffix/prefix;1;Kernel debugger;debugger
1suffix/prefix;1;Memory debugger;debugger
2suffix/prefix;0;Data file;debugger;Data;2
2suffix/prefix;0;Data file;debugger;Data;2
2suffix/prefix;0;Data set;debugger;Data;1
2suffix/prefix;0;Data set;debugger;Data;2
2suffix/prefix/W;0;Data set;debugger;Datasets;1
2suffix/prefix;0;Data set;debugger;Data;2
2suffix/prefix;0;Security testing;debugger;Security;2
2suffix/prefix;0;Security testing;debugger;Security;2
2suffix/prefix;0;Business analytics;debugger;Business;1
2suffix/prefix;0;Business analytics;debugger;Business;2
2suffix/prefix;0;Business analytics;debugger;Business;2
2suffix/prefix;0;Business analytics;debugger;Business;1
2suffix/prefix;0;Business analytics;debugger;Business;2
2suffix/prefix;0;Business partner;debugger;Business;1
2suffix/prefix/W;1;GNU Debugger;debugger;Debuggers;0
suffix/prefix/W;1;GNU Debugger;debugger;Debuggers;0
2suffix/prefix/W;0;Computer program;debugger;Computers;1
suffix/prefix/W;0;Computer program;debugger;Computers;2
2suffix/prefix;1;Designate (Colombia);debugger;Colombia;1
2suffix/prefix;1;Designate (Colombia);debugger;Colombia;2
2suffix/prefix;1;Designate (Colombia);debugger;Colombia;2
2suffix/prefix;1;Manage, Belgium;debugger;Belgium;2
2suffix/prefix;0;Basque language;debugger;Basque;1
2suffix/prefix;0;Basque language;debugger;Basque;2
2suffix/prefix;0;Basque language;debugger;Basque;2
2suffix/prefix;0;Croatian language;debugger;Croatia;2
2suffix/prefix;0;Croatian language;debugger;Croatia;2
2suffix/prefix;0;Serbian language;debugger;Serbia;2
2suffix/prefix;0;Serbian language;debugger;Serbia;2
2suffix/prefix;0;Health care;debugger;Health;1
2suffix/prefix;0;Health care;debugger;Health;2
2suffix/prefix;0;Health care;debugger;Health;2
2suffix/prefix;0;November 18;debugger;November;0
2suffix/prefix;0;January 18;debugger;January;0
2suffix/prefix;0;Wikimedia Foundation;debugger;Wikimedia;1
2suffix/prefix/W;1;Wikimedia Foundation;debugger;Foundations;2
2suffix/prefix/W;1;Wikimedia Foundation;debugger;Foundations;2
2suffix/prefix/W;1;Wikimedia Foundation;debugger;Foundations;2
2suffix/prefix;0;Privacy policy;debugger;Privacy;2
2suffix/prefix/W;0;Test (assessment);debugger;Tests;0
2suffix/prefix/W;0;Test (assessment);debugger;Tests;1
2suffix/prefix/W;0;Test (assessment);debugger;Tests;2
