Linear A;algebraic_function
POWER1;algebraic_function
Rational number;algebraic_function
Constant function;algebraic_function
Quadratic function;algebraic_function
Cubic function;algebraic_function
Quartic function;algebraic_function
Quintic function;algebraic_function
Cube root;algebraic_function
Quantity;algebraic_function
Real number;algebraic_function
Cardiac function curve;algebraic_function
Species–area curve;algebraic_function
Calibration curve;algebraic_function
Monotonic function;algebraic_function
Sine wave;algebraic_function
Quartic function;algebraic_function
Algebraic equation;algebraic_function
Line (geometry);algebraic_function
Sextic equation;algebraic_function
Dose–response relationship;algebraic_function
Stress–strain curve;algebraic_function
Smoothness;algebraic_function
Bathtub curve;algebraic_function
Normal distribution;algebraic_function
Fish curve;algebraic_function
Forgetting curve;algebraic_function
Gompertz function;algebraic_function
Hubbert curve;algebraic_function
Kruithof curve;algebraic_function
Learning curve;algebraic_function
Light curve;algebraic_function
Logistic function;algebraic_function
Paschen's law;algebraic_function
Galaxy rotation curve;algebraic_function
Algebraic curve;algebraic_function
Projective variety;algebraic_function
Algebraic variety;algebraic_function
Two-dimensional space;algebraic_function
Interval (mathematics);algebraic_function
Cartesian coordinate system;algebraic_function
Projective variety;algebraic_function
Curve;algebraic_function
