Object-oriented programming;Turing completeness
Procedural programming;Turing completeness
Programming language;Turing completeness
Computability theory;Turing completeness
Alan Turing;Turing completeness
Web development;Turing completeness
Church–Turing thesis;Turing completeness
Finite-state machine;Turing completeness
Universal Turing machine;Turing completeness
Scripting language;Turing completeness
High-level assembler;Turing completeness
Turing machine;Turing completeness
Lambda calculus;Turing completeness
