1;signal_processing_sampling
1;reduction
1;time_signal
1;time_signal
2;example
2;conversion
2;wave
2;signal
2;sequence
2;samples
2;time_signal
3;sample
3;value
3;set
3;values
3;point
3;time
3;space
4;sampler
4;subsystem
4;operation
4;samples
4;signal
5;sampler
5;samples
5;value
5;signal
5;points
8;functions
8;space_time
8;dimension
8;results
8;dimensions
9;functions
9;time
9;s_t
9;function
9;signal
9;sampling
9;value
9;function
9;T_seconds
9;sampling_interval
9;sampling_period
10;function
10;sequence
11;sampling_frequency
11;sampling_rate_fs
11;number
11;samples
11;samples
12;T._Reconstructing
12;function
12;samples
12;interpolation_algorithms
13;Whittaker_Shannon_interpolation_formula
13;lowpass_filter
13;input
13;sequence
13;Dirac_delta
13;sample_values
14;time_interval
14;samples
14;T
14;sequence
14;delta_functions
14;Dirac_comb
15;Dirac_comb
15;product
15;comb_function
15;s_t
16;abstraction
16;impulse_sampling
17;signals
18;fidelity
18;reconstruction
18;measure
18;effectiveness
18;sampling
19;fidelity
19;s_t
19;frequency_components
19;periodicity
19;samples
19;ratio
19;cycles
19;samples
19;Aliasing
20;quantity_cycles_sample_fs_samples
20;fs
20;cycles
20;hertz
20;Nyquist_frequency
20;sampler
21;t
21;output
21;lowpass_filter
21;aliasing_filter
22;aliasing_filter_frequencies
22;Nyquist_frequency
22;samples
22;way
22;interpolation_process
23;practice
23;signal
23;analog
23;converter_ADC
23;device
23;limitations
24;deviations
24;reconstruction
24;distortion
25;types
25;distortion
26;use
26;oversampling
26;aperture_error
26;aliasing
26;pass_band
26;technique
26;GHz
26;frequencies
27;oversampling
27;quantization_error
27;linearity
28;ADCs
28;frequencies
28;aperture_error
28;quantization_error
29;analog_noise
30;RF
30;microwave_frequencies
30;oversampling
30;filters
30;aperture_error_quantization_error
30;aliasing
30;limitations
31;Jitter_noise
31;quantization
31;modeling
31;errors
31;sample_values
32;Integration
32;order
32;effects
32;form
32;pass
33;linearities
33;ADC
33;DAC
33;function_mapping
33;function
34;Digital_audio
34;pulse_code_modulation
34;signals
34;reproduction
35;analog
35;conversion_ADC
