9;an_underlying_tree;be_associated_with;each_execution_of_depthfirstsearch;0.842
11;the_nodes;replaced_on;the_stack;0.782
14;5;is_a_path_from;vertex_0;0.812
14;5;is_a_path_to;11;0.742
14;5;is;a_path;0.5
17;Depth_First_Traversal;is_similar_to;Depth_First_Traversal_of_a_tree;0.883
17;Depth_First_Traversal;is;similar;0.764
18;The_only_catch;here_is_may_contain_cycles_unlike;trees;0.694
18;The_only_catch;here_is_may_contain;cycles;0.606
18;we;so_may_come_again_to;the_same_node;0.571
18;cycles;here_is_may_contain_unlike;trees;0.485
18;graphs;here_is_may_contain;cycles;0.392
18;graphs;here_is_may_contain_cycles_unlike;trees;0.318
19;we;use;a_boolean_visited_array;0.658
20;we;start;traversal;0.639
20;we;start_traversal_from_vertex_in;the_following_graph;0.45
20;we;start_traversal_from_vertex_for;example;0.186
21;we;look_for;all_adjacent_vertices_of_it;0.769
22;2;is_also_an_adjacent_vertex_of;0.;0.853
22;2;is_also;an_adjacent_vertex_of_0.;0.665
23;it;will_will_become;a_nonterminating_process;0.501
23;we;don;t_mark;0.06
24;A_Depth_First_Traversal_of_the_following_graph;is;2;0.662
42;E;is_number_of;edges;0.878
42;V;is_number_of;edges;0.878
42;V;is_number_of;vertices;0.878
42;V;is_number_of_vertices_in;the_graph;0.8
42;E;is_number_of;vertices;0.778
42;V;is;number_of_vertices_in_the_graph_and_E_is_number_of_edges;0.686
42;E;is_number_of_vertices_in;the_graph;0.661
46;the_two_popular_algorithms;are_asked_in;most_of_the_programming_interviews;0.863
46;Breadth_First_Search_and_Depth_First_Search;are_asked_in;most_of_the_programming_interviews;0.738
47;I;to_find;a_simple_precise_explanation;0.697
47;I;was;not_able;0.649
48;I;So_decided_to_write;an_article;0.702
48;I;to_write;an_article;0.687
49;This_article;will_help;any_beginner_to_get_some_basic_understanding_about_what_graphs_are_how_they_are_represented;0.768
50;Graphs;be_the_most_interesting_data_structures_in;computer_science;0.391
51;Graphs_and_the_trees;are_somewhat_similar_by;their_structure;0.781
52;tree;is_derived_from;the_graph_data_structure;0.914
52;tree;is_derived_in;fact;0.455
55;Graphs;are_good_in;modeling_real_world_problems;0.765
56;hard;be_These_kinds_of;problems;0.302
57;The_following_example;shows;a_very_simple_graph;0.74
58;ABCDE_F;are_called;nodes_and_the_connecting_lines;0.633
58;ABCDE_F;are_called_in;the_above_graph;0.601
58;ABCDE_F;be_the_connecting_lines_between;these_nodes;0.347
59;some_numbers;are_assigned_to;them;0.849
59;The_edges;can_be_directed;edges_which_are_shown_by_arrows_they_can_also_be_weighted_edges;0.827
59;some_numbers;are_assigned_in;arrows_they_can_also_be_weighted_edges;0.557
60;a_graph;Hence_can_be;a_directed_undirected_and_weighted_unweighted_graph;0.702
61;we;will_discuss;undirected_and_unweighted_graphs;0.678
61;undirected_and_unweighted_graphs;will_be_discuss_in;this_article;0.473
61;we;will_discuss_undirected_and_unweighted_graphs_in;this_article;0.473
63;Every_graph;has;two_components;0.692
64;these_two_components;are_implemented_in;a_programming_language)[attrib=s_see;0.94
66;Nodes;are_implemented_by;class_structures_or_as;0.932
67;we;will_represent;node;0.711
67;node;will_be_represent_as;an_example;0.568
67;we;will_represent_node_for_the_above_graph_as_follows_as;an_example;0.568
67;we;be_node_for;the_above_graph;0.494
68;Edges;represent;the_connection;0.808
70;It;is_a_two_dimensional_array_with;Boolean_flags;0.871
70;It;is;a_two_dimensional_array;0.646
71;we;can_represent;the_edges;0.711
71;the_edges;can_be_represent_following;adjacency_matrix;0.708
71;we;can_represent_the_edges_for_the_above_graph_using_the_following;adjacency_matrix;0.476
71;the_edges;can_be_represent_as;an_example;0.473
71;we;be_the_edges_for;the_above_graph_using_the;0.332
71;we;can_represent_the_edges_for_the_above_graph_using_the_as;an_example;0.207
77;we;can_represent_the_adjacency_matrix_as;a_2_dimensional_array_of_integers_Booleans;0.813
77;the_adjacency_matrix;can_be_represent_as;a_2_dimensional_array_of_integers_Booleans;0.772
77;we;can_represent;the_adjacency_matrix;0.711
77;we;can_represent_the_adjacency_matrix_in;JAVA;0.451
77;the_adjacency_matrix;can_be_represent_in;JAVA;0.436
78;It;is_an_array_of;linked_list_nodes;0.892
78;It;is;an_array_of_linked_list_nodes;0.716
79;it;is_like;a_list_whose_elements_are_a_linked_list;0.799
79;it;is_in;other_words;0.496
80;the_edges;will_be_represented_for;the_given_graph_example;0.754
81;the_two_algorithms;be_used_for;traversing;0.752
81;The_breadth_first_search_and_the_depth_first_search;are_the_two_algorithms_for;traversing;0.749
81;The_breadth_first_search_and_the_depth_first_search;searching_a_node_in;a_graph;0.744
81;The_breadth_first_search_and_the_depth_first_search;searching;a_node;0.692
81;a_node;be_searching_in;a_graph;0.674
82;a_node;is_reachable_from;a_given_node_or_not;0.824
84;The_aim_of_DFS_algorithm;is_to_traverse_the_graph_in;such_a_way_that_it_tries_to_go_far_from_the_root_node;0.878
84;The_aim_of_DFS_algorithm;to_traverse_the_graph_in;such_a_way_that_it_tries_to_go_far_from_the_root_node;0.854
84;The_aim_of_DFS_algorithm;is_to_traverse;the_graph;0.807
84;the_graph;to_be_traverse_in;such_a_way_that_it_tries_to_go_far_from_the_root_node;0.749
85;Stack;is_used_in;the_implementation_of_the_depth_first_search;0.885
