1;a_thread;sends_a_message_to;another_thread;0.847
1;a_thread;sends;a_message;0.757
2;the_threads;Hence_shared;variables_to_communicate;0.745
2;the_threads;do_not_have_shared;memory;0.714
4;Messages;are_sent_through;a_channel;0.929
4;sendand;be_received_from;a_channel;0.736
6;a_simple_rendezvous;is_also_called_with;a_one_way_flow_of_information)[enabler=the_sender_and_receiver_are_at_specific_known_points_in_their_code_at_a_known_specific_instant_of_time_synchronous_message_passing;0.704
7;An_example;is;a_chess_game_agent;0.716
8;they;ll_be_handshaking_throughout;the_entire_game;0.641
8;The_agents;can_process_synchronously;messages)[enabler=since_they_ll_be_handshaking_throughout_the_entire_game;0.606
9;the_sender;does_not_block_in;asynchronous_message_passing;0.591
10;the_message;is_queued_in;a_receiver_waiting_to_receive_the_message;0.676
12;a_thread;sends_a_message_to;another_thread;0.847
12;a_thread;sends;a_message;0.757
13;message_passing;please_provide;an_example)[enabler=If_you_could;0.763
13;message_passing;provide;an_example;0.74
14;message_passing;relies_on;the_process;0.814
14;message_passing;sends_a_message_to;a_process;0.814
14;message_passing;sends;a_message;0.757
14;message_passing;sends_a_message_in;computer_science;0.613
15;a_process_subroutine_or_function;is_directly_invoked_by;name;0.914
15;Message;passing_differs_from;conventional_programming_where_a_process_subroutine_or_function_is_directly_invoked_by_name;0.821
15;differs;be_passing_from;conventional_programming_where_a_process_subroutine_or_function_is_directly_invoked_by_name;0.769
15;a_process_subroutine_or_function;is_directly_invoked_in;conventional_programming;0.564
16;Message_passing;is_key_to;some_models_of_concurrency;0.845
16;Message_passing;is;key;0.746
16;Message_passing;object_oriented;programming;0.703
19;it;is_conceptually;complex;0.539
20;Synchronous_message_passing;is_analogous_to;a_function_call_in_which_the_message_sender_is_the_function_caller_and_the_message_receiver;0.863
20;Synchronous_message_passing;is;analogous;0.746
20;the_message_sender;is;the_function_caller_and_the_message_receiver;0.653
20;analogous;is;the_called_function;0.545
21;Function_calling;is;easy_and_familiar;0.703
24;large_distributed_systems;generally_would_not_perform_well_enough_to_be_usable_for;example;0.204
25;offline;to_be_go_for;some_kind_of_maintenance;0.772
25;input;be_receiving_from;other_systems;0.724
34;Distributed_object_systems;have_been_called;shared_nothing_systems)[enabler=because_the_message_passing_abstraction_hides_underlying_state_changes_that_may_be_used_in_the_implementation_of_sending_messages;0.779
44;the_power_of_this_concept;be_demonstrates_by;An_example;0.734
45;a_thread;sends_a_message_to;another_thread;0.847
45;a_thread;sends;a_message;0.757
46;the_threads;Hence_shared;variables_to_communicate;0.745
46;the_threads;do_not_have_shared;memory;0.714
48;Messages;are_sent_through;a_channel;0.929
48;sendand;be_received_from;a_channel;0.736
50;a_simple_rendezvous;is_also_called_with;a_one_way_flow_of_information)[enabler=the_sender_and_receiver_are_at_specific_known_points_in_their_code_at_a_known_specific_instant_of_time_synchronous_message_passing;0.704
51;An_example;is;a_chess_game_agent;0.716
52;they;ll_be_handshaking_throughout;the_entire_game;0.641
52;The_agents;can_process_synchronously;messages)[enabler=since_they_ll_be_handshaking_throughout_the_entire_game;0.606
53;the_sender;does_not_block_in;asynchronous_message_passing;0.591
54;the_message;is_queued_in;a_receiver_waiting_to_receive_the_message;0.676
