1;is_represented_as;1.0
1;is;0.0
1;is_represented_in;1.0
2;be_physically_represented_as;1.0
3;are_not_unsuitable_for;0.0
3;are_not_unsuitable_of;0.0
4;However_still_use;0.0
5;are_also_sometimes_referred_as;0.9999999999999998
14;combines;0.0
35;is_represented_as;1.0
35;is;0.0
35;is_represented_in;1.0
36;be_physically_represented_as;1.0
37;are_not_unsuitable_for;0.0
37;are_not_unsuitable_of;0.0
38;However_still_use;0.0
39;are_also_sometimes_referred_as;0.9999999999999998
45;be_needed_for;0.0
45;is;0.0
45;be_contains_by;0.9999999999999998
45;be_A_good_example_of;1.0
46;to_be_implement_with;0.0
62;is;0.0
63;simply_lists_all_the_data_in;0.0
63;simply_lists;0.0
63;simply_lists_all_the_data_consisting_of;1.0
64;has_to_read_the_entire_flat_file_into;0.0
64;to_read_the_entire_flat_file_into;0.0
64;has_to_read;0.0
64;to_be_read_into;0.0
