1suffix/prefix/W2;0.0;theoretical computer science;reflection (computer programming)
1suffix/prefix/W2;0.0;aspect-oriented programming;reflection (computer programming)
Category Match;0.8888888888888888;type system;reflection (computer programming);Programming constructs;1;Programming constructs;0
1suffix/prefix/W2;0.0;instance (computer science);reflection (computer programming)
1suffix/prefix/W2;0.0;inheritance (object-oriented programming);reflection (computer programming)
1suffix/prefix/W2;0.0;computer science;reflection (computer programming)
Category Match;0.8888888888888888;class browser;reflection (computer programming);Programming constructs;1;Programming constructs;0
Category Match;1.0;return type;reflection (computer programming);Programming constructs;2;Programming constructs;0
1suffix/prefix/W2;0.0;method (computer programming);reflection (computer programming)
1suffix/prefix/W2;1.0;computer program;reflection (computer programming)
1suffix/prefix/W2;0.0;programming language;reflection (computer programming)
